Timestamp,Şirket lokasyon,Çalışma türü,Çalışma şekli,Toplam kaç yıllık iş deneyimin var?,Hangi seviyedesin?,Hangi programlama dillerini kullanıyorsun,Ne yapıyorsun?,Aylık ortalama net kaç bin TL alıyorsun?,Cinsiyet
8/2/2024 13:02:06,Türkiye,Tam zamanlı,Hybrid,1,Junior,"TypeScript, C#, SQL",Backend,41 - 50,
8/2/2024 13:02:32,Türkiye,Tam zamanlı,Office,1,Junior,"HTML/CSS, JavaScript",Frontend,21 - 30,
8/2/2024 13:02:39,Türkiye,Tam zamanlı,Remote,10,Team Lead,"HTML/CSS, JavaScript, Go, PHP, Ruby",Fullstack,71 - 80,
8/2/2024 13:02:40,Türkiye,Tam zamanlı,Remote,2,Mid,"HTML/CSS, JavaScript, TypeScript, PHP",Fullstack,31 - 40,
8/2/2024 13:02:43,Türkiye,Tam zamanlı,Remote,1,Junior,"HTML/CSS, JavaScript, TypeScript",Frontend,31 - 40,
8/2/2024 13:02:56,Türkiye,Tam zamanlı,Hybrid,2,Mid,"HTML/CSS, JavaScript, TypeScript",Frontend,71 - 80,
8/2/2024 13:02:59,Türkiye,Tam zamanlı,Remote,7,Senior,"JavaScript, TypeScript",Frontend,141 - 150,
8/2/2024 13:03:09,Türkiye,Tam zamanlı,Office,20 - 30,Senior,"HTML/CSS, JavaScript, Java, C#, SQL",Backend,91 - 100,
8/2/2024 13:03:16,Türkiye,Tam zamanlı,Office,2,Mid,"JavaScript, TypeScript",React Native,21 - 30,
8/2/2024 13:03:20,Avrupa,Tam zamanlı,Hybrid,4,Team Lead,"HTML/CSS, JavaScript, TypeScript, Java, Python, C++",Game Designer,121 - 130,
8/2/2024 13:03:25,Türkiye,Kendi işim,Office,6,Team Lead,"PHP, Swift, Dart",Flutter,0 - 10,
8/2/2024 13:03:42,Türkiye,Tam zamanlı,Remote,1,Junior,Swift,iOS,21 - 30,
8/2/2024 13:03:42,Türkiye,Tam zamanlı,Remote,10,Senior,"HTML/CSS, JavaScript, TypeScript, PHP, SQL",Frontend,51 - 60,
8/2/2024 13:03:56,Türkiye,Tam zamanlı,Remote,20 - 30,Architect,"HTML/CSS, JavaScript, TypeScript, Java, C#, Swift, Python, C, C++, Objective C, SQL",Eğitim,91 - 100,
8/2/2024 13:03:56,Türkiye,Tam zamanlı,Remote,3,Mid,"HTML/CSS, JavaScript",Frontend,41 - 50,
