timestamp,ortalama_maas,prog_lang_abap,prog_lang_bash,prog_lang_c,prog_lang_c#,prog_lang_c++,prog_lang_cobol,prog_lang_dart,prog_lang_elixir,prog_lang_go,prog_lang_html_css,prog_lang_hicbiri,prog_lang_java,prog_lang_javascript,prog_lang_julia,prog_lang_kotlin,prog_lang_matlab,prog_lang_objective_c,prog_lang_php,prog_lang_perl,prog_lang_python,prog_lang_r_language,prog_lang_ruby,prog_lang_rust,prog_lang_sql,prog_lang_swift,prog_lang_typescript,prog_lang_visual_basic,role_android,role_backend,role_blockchain_developer,role_business_analyst,role_cyber_security_engineer,role_danismanlik,role_data_engineer,role_data_scientist,role_devops,role_embedded_systems_engineer,role_egitim,role_flutter,role_frontend,role_fullstack,role_game_developer,role_it_specialist,role_ml_engineer,role_manuel_tester,role_product_designer,role_product_manager,role_product_owner,role_project_manager,role_react_native,role_sap_developer,role_test_automation_engineer,role_ui_ux_designer,role_ios,frontend_angular,frontend_kullanmiyorum,frontend_react,frontend_vanilla,frontend_vue,tools_fastapi,tools_firebase,tools_jotai,tools_kullanmiyorum,tools_redux,tools_strapi,tools_supabase,tools_wordpress,tools_zustand,kariyer_seviyesi,cinsiyet,calisma_sekli,work_type_tam_zamanlı,work_type_kendi_işim,work_type_yarı_zamanlı,work_type_freelance,location_türkiye,location_avrupa,location_amerika,location_yurtdışı_tr_hub
8/20/2025 12:31:15,65.5,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,2,1,0,0,0,1,0,0,0
8/20/2025 12:31:27,125.5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,3,0,0,1,0,0,0,1,0,0,0
8/20/2025 12:32:54,155.5,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3,0,2,1,0,0,0,0,1,0,0
8/20/2025 12:33:08,85.5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0
8/20/2025 12:34:03,125.5,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,1,0,0,0
8/20/2025 12:34:14,105.5,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0
8/20/2025 12:35:00,55.5,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
8/20/2025 12:35:48,225.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,1,0,0,0,1,0,0,0
8/20/2025 12:36:01,95.5,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
8/20/2025 12:37:14,5.0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0
