Timestamp,Şirket lokasyon,Çalışma türü,Çalışma şekli,Cinsiyet,Toplam kaç yıllık iş deneyimin var?,Hangi seviyedesin?,Hangi programlama dillerini kullanıyorsun,Ne yapıyorsun?,Frontend yazıyorsan hangilerini kullanıyorsun,Hangi tool'ları kullanıyorsun,Aylık ortalama net kaç bin TL alıyorsun?
8/20/2025 12:31:15,Türkiye,Tam zamanlı,Hybrid,Erkek,5,Mid,"HTML/CSS, JavaScript, TypeScript, C#, Python",Fullstack,React,Redux,61 - 70
8/20/2025 12:31:27,Türkiye,Tam zamanlı,Remote,Erkek,6,Senior,"JavaScript, TypeScript",React Native,React,"Redux, Firebase",121 - 130
8/20/2025 12:32:54,Avrupa,Tam zamanlı,Hybrid,Erkek,7,Senior,"HTML/CSS, JavaScript, TypeScript",Fullstack,React,Redux,151 - 160
8/20/2025 12:33:08,Türkiye,Tam zamanlı,Remote,Erkek,5,Mid,C#,Backend,Kullanmıyorum,Kullanmıyorum,81 - 90
8/20/2025 12:34:03,Türkiye,Tam zamanlı,Remote,Erkek,10,Senior,"HTML/CSS, JavaScript, TypeScript",Frontend,React,Zustand,121 - 130
8/20/2025 12:34:14,Türkiye,Tam zamanlı,Remote,Erkek,2,Mid,"HTML/CSS, JavaScript, TypeScript, Kotlin, Python",Fullstack,React,Kullanmıyorum,101 - 110
8/20/2025 12:35:00,Türkiye,Tam zamanlı,Remote,Erkek,1,Junior,"HTML/CSS, TypeScript, Java",Backend,Angular,Kullanmıyorum,51 - 60
8/20/2025 12:35:48,Türkiye,Tam zamanlı,Hybrid,Erkek,11 - 15,Team Lead,"Java, Kotlin, Swift",Android,Kullanmıyorum,Firebase,221 - 230
8/20/2025 12:36:01,Türkiye,Tam zamanlı,Remote,Erkek,3,Junior,"HTML/CSS, JavaScript, TypeScript",Frontend,"React, Vue",Redux,91 - 100
8/20/2025 12:37:14,Türkiye,Kendi işim,Remote,Erkek,1,Junior,"HTML/CSS, JavaScript, TypeScript, Java",Fullstack,React,"FastApi, Redux, Zustand",0 - 10
8/20/2025 12:38:12,Amerika,Tam zamanlı,Remote,Kadın,5,Mid,"HTML/CSS, JavaScript, TypeScript, SQL",Frontend,React,"Zustand, Supabase",111 - 120
8/20/2025 12:38:14,Türkiye,Tam zamanlı,Office,Erkek,4,Mid,C#,Backend,Kullanmıyorum,Kullanmıyorum,81 - 90
